node_id,name,name_en,category,x,y,description
1,西门,West Gate,gate,0.220,0.430,北京大学正门，古典三开朱漆宫门建筑
2,东侧门,Side East Gate,gate,0.570,0.475,校园东侧主要入口
3,东门,East Gate,gate,0.630,0.580,校园东侧正门
4,东南门,Southeast Gate,gate,0.620,0.720,校园东南角入口
5,南门,South Gate,gate,0.470,0.880,校园南侧正门
6,西南门,Southwest Gate,gate,0.300,0.820,校园西南角入口
7,西侧门,Side West Gate,gate,0.280,0.520,校园西侧入口
8,未名湖,Wei Ming Lake,landscape,0.420,0.300,校园内最大人工湖，呈U形，北大标志性景观
9,博雅塔,Bo Ya Tower,landmark,0.500,0.370,仿辽代密檐砖塔样式建造的校园供水水塔
10,图书馆,Library,building,0.540,0.450,亚洲最大的高校图书馆之一
11,钟亭,Bell Tower,landmark,0.370,0.280,未名湖南岸的古典亭台
12,百周年纪念讲堂,Centennial Memorial Hall,building,0.550,0.550,北大百年校庆纪念建筑
13,蔡元培像,Cai Yuanpei Statue,landmark,0.350,0.570,著名教育家蔡元培校长铜像
14,华表,Hua Biao,landmark,0.280,0.650,校园中的华表石柱
15,石舫,Stone Boat,landmark,0.400,0.330,未名湖湖心岛南端的石舫
16,斯诺墓,Snow Tomb,landmark,0.380,0.350,美国记者埃德加·斯诺墓地
17,红湖,Hong Lake,landscape,0.320,0.200,校园北部小型湖泊
18,静园,Jing Yuan,garden,0.380,0.550,六座院落组成的传统中式园林
19,勺园,Shao Yuan,garden,0.220,0.580,明代米万钟所建的著名园林
20,燕南园,Yan Nan Yuan,garden,0.420,0.700,燕南园住宅区
21,朗润园,Lang Run Yuan,garden,0.450,0.150,校园北部园林
22,蔚秀园,Wei Xiu Yuan,garden,0.180,0.250,校园西北角园林
23,承泽园,Cheng Ze Yuan,garden,0.120,0.350,校园西部园林
24,畅春园,Chang Chun Yuan,garden,0.220,0.680,校园南部园林区域
25,中关园,Zhong Guan Yuan,garden,0.720,0.650,校园东南部园区
26,鸣鹤园,Ming He Yuan,garden,0.300,0.280,校园西北部园林
27,镜春园,Jing Chun Yuan,garden,0.380,0.220,未名湖东北侧园林
28,邱德拔体育馆,Qiu Deba Gymnasium,sports,0.740,0.550,校园东南角现代化体育馆
29,五四体育场,May 4th Stadium,sports,0.550,0.780,校园南侧大型体育场
30,第一体育馆,Gymnasium No.1,sports,0.700,0.480,校园东侧体育馆
31,第二体育馆,Gymnasium No.2,sports,0.720,0.520,校园东侧第二体育馆
32,贝公楼,Bei Gong Building,building,0.480,0.420,校长办公楼
33,校史馆,University History Museum,building,0.500,0.520,北京大学校史展览馆
34,临湖轩,Lin Hu Xuan,building,0.440,0.340,未名湖畔古典建筑
35,翻尾石鱼,Stone Fish Sculpture,landmark,0.400,0.310,未名湖南部的石雕
36,塞万提斯像,Cervantes Statue,landmark,0.330,0.450,西班牙作家塞万提斯铜像
37,李大钊像,Li Dazhao Statue,landmark,0.480,0.500,革命先驱李大钊铜像
38,校景亭,Xiao Jing Pavilion,landmark,0.320,0.320,清代鸣鹤园仅存建筑
39,六院,Six Courtyards,building,0.360,0.520,静园六座中式院落
40,理教,Science Teaching Building,building,0.580,0.520,理科教学楼
41,二教,Teaching Building No.2,building,0.560,0.500,第二教学楼
42,三教,Teaching Building No.3,building,0.520,0.500,第三教学楼
43,光华楼,Guanghua Building,building,0.600,0.600,光华管理学院大楼
44,经济学院,Economics Building,building,0.580,0.620,经济学院教学楼
45,法学院,Law School Building,building,0.600,0.650,法学院大楼
46,文史楼,Humanities Building,building,0.560,0.650,文史类教学楼
47,地学楼,Earth Science Building,building,0.540,0.600,地球科学教学楼
48,电教楼,Audio-Visual Building,building,0.520,0.550,电化教育大楼
49,考古文博学院,Archaeology School,building,0.320,0.400,考古与文博学院
50,生命科学楼,Life Science Building,building,0.620,0.400,生命科学学院大楼
